time,open,high,low,close,volume
2025-01-01,93576,95151.15,92888,94591.79,
2025-01-02,94591.78,97839.5,94392,96984.79,
2025-01-03,96984.79,98976.91,96100.01,98174.18,
2025-01-04,98174.17,98778.43,97514.79,98220.5,
2025-01-05,98220.51,98836.85,97276.79,98363.61,
2025-01-06,98363.61,102480,97920,102235.6,
2025-01-07,102235.6,102724.38,96181.81,96954.61,
2025-01-08,96954.6,97268.65,92500.9,95060.61,
2025-01-09,95060.61,95382.32,91203.67,92552.49,
2025-01-10,92552.49,95836,92206.02,94726.11,
2025-01-11,94726.1,95050.94,93831.73,94599.99,
2025-01-12,94599.99,95450.1,93711.19,94545.06,
2025-01-13,94545.07,95940,89256.69,94536.1,
2025-01-14,94536.11,97371,94346.22,96560.86,
2025-01-15,96560.85,100681.94,96500,100497.35,
2025-01-16,100497.35,100866.66,97335.13,99987.3,
2025-01-17,99987.3,105865.22,99950.77,104077.48,
2025-01-18,104077.47,104988.88,102277.55,104556.23,
2025-01-19,104556.23,106422.43,99651.6,101331.57,
2025-01-20,101331.57,109588,99550,102260.01,
2025-01-21,102260,107240.81,100119.04,106143.82,
2025-01-22,106143.82,106394.46,103339.12,103706.66,
2025-01-23,103706.66,106850,101262.28,103910.34,
2025-01-24,103910.35,107120,102750,104870.5,
2025-01-25,104870.51,105286.52,104106.09,104746.85,
2025-01-26,104746.86,105500,102520.44,102620,
2025-01-27,102620.01,103260,97777.77,102082.83,
2025-01-28,102082.83,103800,100272.68,101335.52,
2025-01-29,101335.52,104782.68,101328.01,103733.24,
2025-01-30,103733.25,106457.44,103278.54,104722.94,
2025-01-31,104722.94,106012,101560,102429.56,
2025-02-01,102429.56,102783.71,100279.51,100635.65,
2025-02-02,100635.66,101456.6,96150,97700.59,
2025-02-03,97700.59,102500.01,91231,101328.52,
2025-02-04,101328.51,101732.31,96150,97763.13,
2025-02-05,97763.14,99149,96155,96612.43,
2025-02-06,96612.44,99120,95676.64,96554.35,
2025-02-07,96554.35,100137.99,95620.34,96506.8,
2025-02-08,96506.8,96880,95688,96444.74,
2025-02-09,96444.75,97323.09,94713,96462.75,
2025-02-10,96462.75,98345,95256,97430.82,
2025-02-11,97430.82,98478.42,94876.88,95778.2,
2025-02-12,95778.21,98119.99,94088.23,97869.99,
2025-02-13,97870,98083.91,95217.36,96608.14,
2025-02-14,96608.13,98826,96252.82,97500.48,
2025-02-15,97500.47,97972.26,97223.58,97569.66,
2025-02-16,97569.67,97704.47,96046.18,96118.12,
2025-02-17,96118.12,97046.59,95205,95780,
2025-02-18,95780.01,96753.91,93388.09,95671.74,
2025-02-19,95671.74,96899.99,95029.99,96644.37,
2025-02-20,96644.37,98711.36,96415.09,98305,
2025-02-21,98305.01,99475,94871.95,96181.98,
2025-02-22,96181.99,96980,95770.49,96551.01,
2025-02-23,96551.01,96650,95227.94,96258,
2025-02-24,96258,96500,91349.26,91552.88,
2025-02-25,91552.88,92540.69,86050.99,88680.4,
2025-02-26,88680.39,89414.15,82256.01,84250.09,
2025-02-27,84250.09,87078.46,82716.49,84708.58,
2025-02-28,84708.57,85120,78258.52,84349.94,
2025-03-01,84349.95,86558,83824.78,86064.53,
2025-03-02,86064.54,95000,85050.6,94270,
2025-03-03,94269.99,94416.46,85117.11,86220.61,
2025-03-04,86221.16,88967.52,81500,87281.98,
2025-03-05,87281.98,91000,86334.53,90606.01,
2025-03-06,90606,92810.64,87836,89931.89,
2025-03-07,89931.88,91283.02,84667.03,86801.75,
2025-03-08,86801.74,86897.25,85218.47,86222.45,
2025-03-09,86222.46,86500,80000,80734.37,
2025-03-10,80734.48,84123.46,77459.91,78595.86,
2025-03-11,78595.86,83617.4,76606,82932.99,
2025-03-12,82932.99,84539.85,80607.65,83680.12,
2025-03-13,83680.12,84336.33,79939.9,81115.78,
2025-03-14,81115.78,85309.71,80818.84,83983.2,
2025-03-15,83983.19,84676.28,83618,84338.44,
2025-03-16,84338.44,85117.04,81981.12,82574.53,
2025-03-17,82574.52,84756.83,82456,84010.03,
2025-03-18,84010.02,84021.74,81134.66,82715.03,
2025-03-19,82715.03,87000,82547.16,86845.94,
2025-03-20,86845.93,87453.67,83655.23,84223.39,
2025-03-21,84223.38,84850.33,83175.25,84088.79,
2025-03-22,84088.79,84539.17,83625.1,83840.59,
2025-03-23,83840.59,86129.64,83809.75,86082.5,
2025-03-24,86082.5,88765.43,85519.09,87498.16,
2025-03-25,87498.16,88539.63,86310,87392.87,
2025-03-26,87392.88,88275,85860,86909.17,
2025-03-27,86909.17,87756.39,85800,87232.01,
2025-03-28,87232.01,87515.67,83585,84424.38,
2025-03-29,84424.38,84624.73,81644.81,82648.54,
2025-03-30,82648.53,83534.64,81565,82389.99,
2025-03-31,82390,83943.08,81278.52,82550.01,
2025-04-01,82550,85579.46,82432.74,85158.34,
2025-04-02,85158.35,88500,82320,82516.29,
2025-04-03,82516.28,83998.02,81211.24,83213.09,
2025-04-04,83213.09,84720,81659,83889.87,
2025-04-05,83889.87,84266,82379.95,83537.99,
2025-04-06,83537.99,83817.63,77153.83,78430,
2025-04-07,78430,81243.58,74508,79163.24,
