time,open,high,low,close,volume
2025-01-01 16:00:00,1.2517,1.2521,1.2517,1.252,
2025-01-01 20:00:00,1.2516,1.2519,1.2508,1.2519,
2025-01-02 00:00:00,1.2521,1.2537,1.251,1.2537,
2025-01-02 04:00:00,1.2538,1.254,1.2521,1.2521,
2025-01-02 08:00:00,1.2521,1.2524,1.2435,1.2454,
2025-01-02 12:00:00,1.2454,1.2458,1.237,1.2375,
2025-01-02 16:00:00,1.2376,1.238,1.2353,1.2369,
2025-01-02 20:00:00,1.2369,1.2386,1.2369,1.238,
2025-01-03 00:00:00,1.2379,1.2397,1.2378,1.2395,
2025-01-03 04:00:00,1.2394,1.2407,1.2386,1.24,
2025-01-03 08:00:00,1.2399,1.2416,1.2386,1.2407,
2025-01-03 12:00:00,1.2407,1.2417,1.2388,1.2405,
2025-01-03 16:00:00,1.2404,1.2434,1.2403,1.2428,
2025-01-03 20:00:00,1.2428,1.2435,1.242,1.2423,
2025-01-05 20:00:00,1.2422,1.2434,1.2414,1.2424,
2025-01-06 00:00:00,1.2425,1.2443,1.2418,1.2436,
2025-01-06 04:00:00,1.2435,1.2456,1.2432,1.2452,
2025-01-06 08:00:00,1.2452,1.2548,1.2452,1.2544,
2025-01-06 12:00:00,1.2545,1.2551,1.2469,1.2508,
2025-01-06 16:00:00,1.2508,1.2535,1.2502,1.2513,
2025-01-06 20:00:00,1.2512,1.2524,1.251,1.251,
2025-01-07 00:00:00,1.251,1.2533,1.2504,1.2533,
2025-01-07 04:00:00,1.2534,1.2563,1.2529,1.2552,
2025-01-07 08:00:00,1.2552,1.2576,1.2532,1.254,
2025-01-07 12:00:00,1.254,1.2548,1.248,1.2497,
2025-01-07 16:00:00,1.2498,1.2507,1.2483,1.2491,
2025-01-07 20:00:00,1.249,1.249,1.2473,1.2476,
2025-01-08 00:00:00,1.2477,1.2489,1.2475,1.2479,
2025-01-08 04:00:00,1.2479,1.2494,1.2464,1.2468,
2025-01-08 08:00:00,1.2468,1.2471,1.2325,1.2373,
2025-01-08 12:00:00,1.2374,1.2374,1.2321,1.2344,
2025-01-08 16:00:00,1.2343,1.2378,1.2334,1.2357,
2025-01-08 20:00:00,1.2357,1.2367,1.2351,1.2359,
2025-01-09 00:00:00,1.2359,1.2365,1.2344,1.2345,
2025-01-09 04:00:00,1.2344,1.2345,1.2252,1.2259,
2025-01-09 08:00:00,1.226,1.2304,1.2239,1.2289,
2025-01-09 12:00:00,1.229,1.2323,1.2271,1.2303,
2025-01-09 16:00:00,1.2304,1.2314,1.2287,1.2309,
2025-01-09 20:00:00,1.2309,1.2316,1.2298,1.2298,
2025-01-10 00:00:00,1.23,1.2309,1.2294,1.2301,
2025-01-10 04:00:00,1.23,1.2304,1.2267,1.2291,
2025-01-10 08:00:00,1.2291,1.2309,1.2284,1.2303,
2025-01-10 12:00:00,1.2304,1.2322,1.2193,1.223,
2025-01-10 16:00:00,1.223,1.2231,1.2195,1.221,
2025-01-10 20:00:00,1.2211,1.2215,1.2202,1.2208,
2025-01-12 20:00:00,1.2208,1.221,1.22,1.2205,
2025-01-13 00:00:00,1.2203,1.2208,1.2138,1.2143,
2025-01-13 04:00:00,1.2144,1.2161,1.2123,1.2138,
2025-01-13 08:00:00,1.2138,1.2172,1.2102,1.211,
2025-01-13 12:00:00,1.2109,1.216,1.21,1.2151,
2025-01-13 16:00:00,1.2152,1.2184,1.2142,1.2167,
2025-01-13 20:00:00,1.2167,1.225,1.2166,1.2231,
2025-01-14 00:00:00,1.2231,1.2232,1.2192,1.2209,
2025-01-14 04:00:00,1.2208,1.2229,1.2197,1.2211,
2025-01-14 08:00:00,1.2209,1.2247,1.2171,1.2177,
2025-01-14 12:00:00,1.2176,1.2203,1.214,1.2201,
2025-01-14 16:00:00,1.2199,1.2213,1.2169,1.2199,
2025-01-14 20:00:00,1.22,1.2217,1.2195,1.2211,
2025-01-15 00:00:00,1.2211,1.2211,1.2193,1.2203,
2025-01-15 04:00:00,1.2203,1.2241,1.2161,1.2234,
